,id,year_sum,month_sum,week_sum,year_count,month_count,week_count,year_person_count,month_person_count,week_person_count,year_out_sum,month_out_sum,week_out_sum,year_ratio,month_ratio,week_ratio
0,25463,38105885,30819375,2193046,8351,1139,425,6899,1978,922,9517467,8561172,2348601,4.003784305214823,3.599901392005674,0.9337669531776577
1,25464,19990088,11956750,6366172,8506,7419,1372,2874,2439,212,18705877,16948152,11863204,1.0686528089541056,0.705489896479569,0.5366317564799526
2,25465,26079307,11209668,1920555,3286,2294,1509,1380,387,291,16317397,9376045,6318124,1.59825166967501,1.1955646543931904,0.30397551551694774
3,25466,29602646,3968879,3004007,2063,1961,1188,726,507,208,42663473,14216537,11602134,0.6938639524260015,0.27917340207393687,0.25891848861597355
4,25467,32693202,28457573,17375932,5796,5048,1705,2204,684,320,47449387,2828613,719290,0.6890121046242389,10.060610270828848,24.157060434595227
5,25468,16219429,5542518,2984849,8279,667,581,6479,1226,909,8459257,5667135,5126412,1.9173585812560134,0.9780105820665997,0.5822491442357735
6,25469,37109917,31336650,27871419,4426,1669,735,2728,2538,1313,7377339,4699678,1006600,5.030257793494375,6.667829157657184,27.68867375322869
7,25470,23793848,22241026,22044205,8179,7766,4026,2708,2472,1925,20893549,14318715,1637570,1.1388131331828786,1.553283657087944,13.461534468755534
8,25471,17685810,4799113,139428,6394,2871,450,1873,147,35,16133826,13792656,4611280,1.0961944178646776,0.34794697990002793,0.030236290140698462
9,25472,42911863,41317837,19580528,2545,2431,410,2244,254,210,39574701,18844959,7468812,1.0843256402619441,2.1925140298792902,2.62163888982612
10,25473,41909454,31584561,23402684,7323,4997,616,2198,1824,612,40567415,4314824,3291421,1.0330816986983271,7.320011430361934,7.110206807333368
11,25474,27498297,8626931,3577420,4315,859,697,3204,729,237,17137017,13581141,11159593,1.604613976866569,0.6352140074239713,0.3205690386737222
12,25475,33344435,7101058,4929378,3605,1723,965,699,276,182,30409944,22611686,14009798,1.096497744290486,0.3140437205788193,0.35185218230841014
13,25476,14550025,2219864,1127623,8500,7122,2840,2843,1653,523,22908782,15846787,13183418,0.635128703044972,0.14008290765818965,0.08553343298376795
14,25477,38656214,12899590,2244357,6113,3213,2264,2651,92,72,14829432,5098523,4097860,2.6067224961819173,2.5300640989557173,0.5476900138120873
15,25478,17918654,777883,691057,9611,2918,1983,623,58,5,36846052,16787029,4241582,0.4863113692614883,0.046338336581178245,0.16292435228176658
16,25479,28859938,20770146,9383396,8133,6214,2181,6341,3826,3004,33617144,2830098,1637638,0.8584886925552033,7.339020062202793,5.729835287163586
17,25480,33682382,17776284,640523,9001,8291,6154,679,175,31,15697305,960938,538801,2.145742979447746,18.498887545294284,1.1887932650459074
18,25481,46628636,25595953,8048694,1208,178,136,1083,899,525,39725452,37201313,3965316,1.1737723210801982,0.6880389678719135,2.029773667470638
19,25482,41036647,3046773,1338627,9580,2509,192,1300,732,370,12931428,10691452,2344797,3.173404128298901,0.2849727988303179,0.5708924909064622
20,25483,49482364,43605689,37004874,2710,2499,1113,507,330,162,28057028,13362489,7971768,1.763635264576134,3.2632909183311583,4.6419908356590405
21,25484,35734917,14663432,10647416,7785,326,280,5852,288,200,43348498,41889787,1551503,0.82436344161221,0.35004790069713176,6.862646092208652
